age,gender,education,years_experience,interview_score,hired
28,Male,Bachelor,3,78,1
35,Female,Master,8,82,0
42,Male,Bachelor,12,75,1
26,Female,Bachelor,1,72,0
50,Male,PhD,18,88,1
29,Male,Bachelor,4,79,1
33,Female,Master,6,81,0
45,Female,Bachelor,15,76,0
31,Male,Master,5,80,1
27,Female,Bachelor,2,74,0
39,Male,Bachelor,10,77,1
34,Female,Master,7,83,0
48,Male,PhD,16,86,1
30,Male,Bachelor,3,75,1
36,Female,Bachelor,9,78,0
52,Male,Master,19,87,1
25,Female,Bachelor,0,71,0
43,Male,Bachelor,11,76,1
28,Female,Master,4,79,0
41,Male,PhD,14,84,1
26,Male,Bachelor,1,73,1
38,Female,Master,8,82,0
44,Male,Bachelor,13,77,1
29,Female,Bachelor,2,70,0
53,Male,Master,20,89,1
32,Male,Bachelor,5,76,1
37,Female,Bachelor,10,79,0
47,Male,PhD,17,85,1
24,Female,Bachelor,0,68,0
40,Male,Bachelor,9,78,1
27,Male,Master,3,81,1
35,Female,Bachelor,7,75,0
46,Male,Bachelor,14,74,1
31,Female,Master,6,83,0
51,Male,PhD,18,88,1
28,Male,Bachelor,2,77,1
39,Female,Master,9,80,0
43,Male,Bachelor,12,75,1
26,Female,Bachelor,1,69,0
48,Male,Master,16,86,1
33,Male,Bachelor,6,78,1
34,Female,PhD,8,84,0
45,Male,Master,13,79,1
30,Female,Bachelor,4,72,0
50,Male,Bachelor,17,82,1
25,Male,Master,1,76,1
36,Female,Bachelor,10,77,0
41,Male,PhD,15,87,1
29,Female,Master,5,81,0
38,Male,Bachelor,11,76,1
32,Female,Bachelor,4,71,0
44,Male,Master,14,85,1
27,Male,Bachelor,3,74,1
40,Female,PhD,9,83,0
35,Male,Bachelor,8,77,1
42,Female,Master,11,80,0
49,Male,Bachelor,16,78,1
31,Female,Bachelor,5,73,0
37,Male,Master,10,81,1
46,Female,Bachelor,13,75,0
28,Male,PhD,4,85,1
39,Female,Bachelor,7,76,0
26,Male,Bachelor,2,72,1
47,Female,Master,14,82,0
34,Male,Bachelor,6,77,1
33,Female,Bachelor,8,70,0
50,Male,Master,17,84,1
25,Female,Master,1,78,0
41,Male,Bachelor,12,76,1
36,Female,Master,9,81,0
43,Male,PhD,15,86,1
29,Male,Bachelor,4,75,1
38,Female,Bachelor,10,74,0
44,Male,Bachelor,13,77,1
30,Female,Master,6,82,0
52,Male,Bachelor,18,85,1
27,Male,Bachelor,3,76,1
39,Female,Bachelor,9,72,0
45,Male,Master,14,83,1
32,Female,Bachelor,5,71,0
40,Male,PhD,11,87,1
35,Female,Master,8,80,0
48,Male,Bachelor,16,78,1
26,Male,Bachelor,1,74,1
37,Female,Bachelor,10,75,0
42,Male,Master,12,82,1
28,Female,Bachelor,2,69,0
46,Male,Bachelor,14,81,1
31,Male,PhD,6,86,1
33,Female,Master,8,83,0
49,Female,Bachelor,15,76,0
25,Male,Bachelor,0,72,1
38,Female,Master,7,81,0
41,Male,Bachelor,13,77,1
29,Female,Bachelor,4,70,0
44,Male,Master,11,84,1
34,Female,Bachelor,9,73,0
47,Male,PhD,16,88,1
27,Female,Master,3,80,0
39,Male,Bachelor,10,78,1
36,Female,Bachelor,7,71,0
43,Female,Master,12,82,0
45,Male,Bachelor,15,79,1
32,Male,Master,5,85,1
40,Female,Bachelor,9,74,0
50,Male,Bachelor,17,86,1
26,Female,Master,1,77,0
35,Male,Bachelor,8,75,1
48,Female,Bachelor,14,73,0
28,Male,PhD,3,84,1
42,Female,Master,11,81,0
30,Male,Bachelor,4,76,1
37,Female,Bachelor,10,72,0
46,Male,Master,13,83,1
31,Female,Master,6,80,0
38,Male,Bachelor,9,77,1
25,Female,Bachelor,1,69,0
39,Male,Master,7,82,1
44,Female,Bachelor,12,74,0
33,Male,Bachelor,5,78,1
41,Female,Master,10,81,0
47,Male,PhD,15,86,1
29,Male,Bachelor,3,75,1
36,Female,Bachelor,8,70,0
34,Male,Master,6,83,1
40,Female,Bachelor,11,76,0
50,Female,Master,16,84,0
27,Male,Bachelor,2,77,1
45,Female,Bachelor,13,72,0
32,Male,PhD,4,87,1
43,Female,Master,9,82,0
26,Male,Bachelor,1,73,1
38,Female,Master,7,79,0
49,Male,Bachelor,14,77,1
31,Female,Bachelor,5,71,0
35,Male,Master,8,84,1
42,Female,Bachelor,12,75,0
28,Male,Bachelor,3,76,1
39,Female,Master,10,80,0
37,Male,Bachelor,9,78,1
46,Female,Bachelor,13,73,0
25,Male,Master,0,82,1
44,Female,Master,11,81,0
33,Male,Bachelor,6,77,1
41,Female,Bachelor,10,72,0
48,Male,PhD,15,86,1
30,Female,Master,4,79,0
36,Male,Bachelor,8,75,1
43,Female,Bachelor,12,74,0
29,Male,Bachelor,2,76,1
47,Female,Master,14,83,0
34,Male,Master,7,84,1
40,Female,Bachelor,9,71,0
50,Male,Bachelor,17,87,1
26,Female,Master,1,78,0
35,Female,Bachelor,6,72,0
45,Male,Master,13,81,1
32,Female,Bachelor,5,70,0
39,Male,PhD,10,85,1
44,Female,Master,12,82,0
28,Female,Bachelor,3,73,0
38,Male,Bachelor,11,77,1
31,Female,Master,4,80,0
42,Male,Bachelor,14,78,1
27,Female,Bachelor,2,69,0
41,Male,Master,12,83,1
36,Female,Bachelor,8,74,0
49,Male,PhD,16,88,1
25,Female,Master,1,79,0
37,Male,Bachelor,10,76,1
43,Female,Bachelor,9,72,0
34,Male,Master,6,84,1
40,Female,Bachelor,11,75,0
48,Male,Bachelor,15,82,1
30,Female,Master,5,81,0
33,Male,PhD,7,86,1
39,Female,Bachelor,10,71,0
45,Male,Bachelor,13,79,1
29,Female,Master,4,80,0
46,Male,Bachelor,14,77,1
32,Female,Bachelor,6,73,0
38,Male,Master,9,83,1
44,Female,Bachelor,12,76,0
26,Male,Bachelor,2,74,1
35,Female,Master,8,81,0
41,Male,Bachelor,11,78,1
28,Female,Bachelor,3,70,0
47,Male,PhD,15,87,1
31,Female,Master,7,82,0
37,Male,Bachelor,10,75,1
42,Female,Bachelor,9,72,0
25,Male,Master,1,84,1
39,Female,Bachelor,8,79,0
34,Male,Bachelor,6,77,1
40,Female,Master,12,80,0
50,Male,Bachelor,17,85,1
27,Female,Bachelor,2,71,0
36,Male,PhD,9,86,1
43,Female,Master,11,83,0
29,Male,Bachelor,4,76,1
45,Female,Bachelor,13,74,0
32,Male,Master,5,82,1
38,Female,Bachelor,10,73,0
44,Male,Bachelor,14,79,1
33,Female,Master,6,81,0
48,Male,PhD,16,88,1
26,Female,Bachelor,1,69,0
